country,country,sum_guinea,sum_liberia,sum_sierra_leone,movement_from_guinea,movement_from_liberia,movement_from_sierra_leone,from_guinea,from_liberia,from_sierra_leone
Suriname,SUR,3,5,1,38687573.17,13481143.76,20464056.72,4,4,4
Slovakia,SVK,10,7,1,347428372.8,118657082.4,167466073,4,4,4
Slovenia,SVN,11,4,1,154173351.3,51917361.53,73792110.8,4,4,4
Sweden,SWE,571,167,14,462723942.4,157356154.1,225046392.3,4,4,4
Swaziland,SWZ,9,2,1,67111429.02,27141987.8,34764788.15,4,4,4
Seychelles,SYC,1,1,1,3884984.839,1496626.398,1965643.731,4,4,4
Syria,SYR,1,1,1,1187299419,430497809,582825130.4,4,4,4
Chad,TCD,1,11,2,1777839771,671072795.8,858330834,3,4,4
Togo,TGO,55,138,3,3671877164,1651214939,1725680589,3,3,4
Thailand,THA,1,2,1,1221837017,456113709.1,618454249.5,4,4,4
Tajikistan,TJK,1,1,1,239424317.2,88844966.05,120082086.6,4,4,4
Turkmenistan,TKM,1,1,1,181104633.2,66736498.69,90279267.38,4,4,4
Timor-Leste,TLS,1,1,1,16196318.77,5949282.166,8168823.679,4,4,4
Tonga,TON,1,1,1,1296582.42,453008.0459,655235.8139,4,4,4
Trinidad & Tobago,TTO,1,2,1,80974739.87,28085342.15,42488600.57,4,4,4
Tunisia,TUN,2,1,1,1381449408,455748589.5,645259575,4,4,4
Turkey,TUR,85,75,8,4208912021,1508347352,2057636343,4,4,4
Tuvalu,TUV,1,1,1,105023.4736,36831.61794,53135.50081,4,4,4
Tanzania,TZA,2,3,1,3331185617,1323176685,1690522723,4,4,4
Uganda,UGA,2,3,1,2931487129,1154800691,1473779401,4,4,4
Ukraine,UKR,48,1,6,2274103805,799766773.1,1108845569,4,4,4
Uruguay,URY,1,2,1,175017312.7,64320553.36,93527555.18,4,4,4
United States,USA,13928,14599,19,7198383045,2599671635,3755646934,4,4,4
Uzbekistan,UZB,1,1,1,927124628.4,341947850.4,462977831.5,4,4,4
Saint Vincent & Grenadines,VCT,1,1,1,6574634.629,2273149.557,3444148.835,4,4,4
Venezuela,VEN,11,21,4,1635000551,571541125.5,857318854.6,4,4,4
Vietnam,VNM,1,2,1,1580798144,590114938.3,800900085,4,4,4
Vanuatu,VUT,2,1,1,2966769.438,1044395.51,1490453.264,4,4,4
Samoa,WSM,1,1,1,2269032.643,794728.7736,1150708.606,4,4,4
Yemen,YEM,1,1,1,1217566476,458216753,607295900.8,4,4,4
South Africa,ZAF,241,157,29,3003089517,1230621665,1568273190,4,4,4
Zambia,ZMB,1,1,3,1099116133,449422301.9,565252047.7,4,4,4
Zimbabwe,ZWE,1,1,1,922134099.4,375081385.2,475917705.8,4,4,4
